Id,Title,Type,Release_year,Runtime,Genres
tm215787,The Kid Ranger,MOVIE,1936,57,drama
tm6064,Sex Madness,MOVIE,1938,57,drama
tm139538,Jungle Bride,MOVIE,1933,63,crime
tm162468,The Courageous Avenger,MOVIE,1935,59,western
tm4045,"Come On, Tarzan",MOVIE,1932,61,western
tm106911,The Love Flower,MOVIE,1920,104,drama
tm110878,Corregidor,MOVIE,1943,73,drama
tm59956,Riders in the Sky,MOVIE,1949,69,western
tm69903,Dr. Kildare's Strange Case,MOVIE,1940,77,drama
tm3703,A Strange Adventure,MOVIE,1932,60,romance
tm95851,Bush Pilot,MOVIE,1947,58,action
tm63689,Western Gold,MOVIE,1937,57,western
tm8314,High Voltage,MOVIE,1929,63,drama
tm82196,Colorado,MOVIE,1940,54,action
tm76127,The Panther's Claw,MOVIE,1942,70,thriller
tm418595,Sarumba,MOVIE,1950,65,drama
tm78463,Broadway Limited,MOVIE,1941,75,romance
tm83413,Fiesta,MOVIE,1941,45,western
tm74984,Stella Maris,MOVIE,1918,84,drama
tm66265,The Big Wheel,MOVIE,1949,92,romance
tm8966,Spirit of Youth,MOVIE,1938,66,drama
tm84294,Breakfast in Hollywood,MOVIE,1946,90,comedy
tm3717,The Yellow Rose of Texas,MOVIE,1944,69,western
tm60163,Beyond the Purple Hills,MOVIE,1950,69,western
tm87516,Melody for Three,MOVIE,1941,67,drama
tm21652,Rubber Tires,MOVIE,1927,52,comedy
tm118821,Hoppy Serves a Writ,MOVIE,1943,67,western
tm7526,The Old Barn Dance,MOVIE,1938,54,western
tm7188,Campus Knights,MOVIE,1929,61,comedy
tm68639,Lady from Chungking,MOVIE,1942,68,drama
tm162922,Honeymoon Limited,MOVIE,1935,74,crime
tm215426,The Woman I Lost,MOVIE,1949,94,crime
tm110218,Combat America,MOVIE,1943,63,history
tm264853,Hillbilly Blitzkrieg,MOVIE,1942,63,comedy
tm46955,Lonely Wives,MOVIE,1931,85,comedy
tm1396,"A Boy, a Girl and a Dog",MOVIE,1946,77,drama
tm4554,I Accuse My Parents,MOVIE,1944,68,drama
tm6440,The Hurricane Express,MOVIE,1932,79,crime
tm265101,Fangs of the Wild,MOVIE,1939,52,western
tm99682,The Man From Utah,MOVIE,1934,55,action
tm102781,Headin' Home,MOVIE,1920,71,comedy
tm160248,Navy Secrets,MOVIE,1939,62,drama
tm17225,Bells of Rosarita,MOVIE,1945,68,western
tm117167,Born to Fight,MOVIE,1936,65,drama
tm147099,Tumbleweeds,MOVIE,1925,79,western
tm15833,The Stork Club,MOVIE,1945,90,comedy
tm4655,San Fernando Valley,MOVIE,1944,74,western
tm5604,Trade Winds,MOVIE,1938,93,romance
tm88313,Queen of the Amazons,MOVIE,1947,61,action
tm137238,Reckless Decision,MOVIE,1933,67,drama
tm6772,Who Killed Doc Robbin?,MOVIE,1948,55,comedy
tm67973,Bulldog Drummond Escapes,MOVIE,1937,67,thriller
tm64949,State Department: File 649,MOVIE,1949,87,action
tm163511,Paradise in Harlem,MOVIE,1939,85,drama
tm89198,Danger Street,MOVIE,1947,68,crime
tm113154,The House of Secrets,MOVIE,1936,70,thriller
tm215295,Swamp Fire,MOVIE,1946,69,drama
tm83828,The House Across the Bay,MOVIE,1940,88,drama
tm91085,Behind Green Lights,MOVIE,1946,64,crime
tm81236,Hidden Gold,MOVIE,1940,60,western
tm163117,Straight Shooter,MOVIE,1939,54,western
tm224003,Sons of New Mexico,MOVIE,1949,71,western
tm75894,Little Men,MOVIE,1940,84,comedy
tm95965,The Magnificent Rogue,MOVIE,1946,74,drama
tm8273,The Extra Girl,MOVIE,1923,69,romance
tm16763,Her Favorite Patient,MOVIE,1945,72,comedy
tm156476,Sunset Range,MOVIE,1935,60,comedy
tm2759,The Garden of Eden,MOVIE,1928,78,drama
tm106873,There's Always Tomorrow,MOVIE,1934,86,drama
tm83487,Dick Tracy vs. Cueball,MOVIE,1946,62,thriller
tm3367,Gambler's Choice,MOVIE,1944,66,crime
tm16252,The White Gorilla,MOVIE,1945,62,action
tm48923,Behind Office Doors,MOVIE,1931,82,romance
tm1583,365 Nights in Hollywood,MOVIE,1934,77,comedy
tm116723,Murder with Pictures,MOVIE,1936,69,crime
tm99134,Little Men,MOVIE,1934,72,romance
tm1540,A Romance of Happy Valley,MOVIE,1919,76,drama
tm153674,In Old Caliente,MOVIE,1939,54,comedy
tm89635,Dick Tracy's Dilemma,MOVIE,1947,60,crime
tm134252,Tomorrow at Seven,MOVIE,1933,62,crime
tm114975,August Week End,MOVIE,1936,62,drama
tm76878,Boys of the City,MOVIE,1940,68,thriller
tm89134,The Gunman From Bodie,MOVIE,1941,62,western
tm206809,Dr. Christian Meets the Women,MOVIE,1940,68,drama
tm83660,Colonel Effingham's Raid,MOVIE,1946,72,romance
tm4564,Dangerous Passage,MOVIE,1944,60,drama
tm112173,The President's Mystery,MOVIE,1936,80,thriller
tm68321,Brothers of the West,MOVIE,1937,58,western
tm138425,My Lady of Whims,MOVIE,1925,59,drama
tm220934,Riddle Ranch,MOVIE,1935,63,western
tm82785,In Old Cheyenne,MOVIE,1941,58,western
tm210833,West of the Law,MOVIE,1942,60,western
tm67650,The Shadow Strikes,MOVIE,1937,62,thriller
tm161739,Lying Lips,MOVIE,1939,80,drama
tm76300,Three Men From Texas,MOVIE,1940,76,western
